from,to,detail,type,contract_size
Conservative party,David Gauke,"Exchequer Secretary to the Treasury 2010-2014, Financial Secretary to the Treasury 2014-2016, Chief Secretary to the Treasury 2016-2017",job,
Conservative party,George Osborne,former Chancellor of the Exchequor,job,
Conservative party,John Glen,Economic Secretary to the Treasury,job,
John Glen,Accenture PLC,Former Accenture employee,job,
Blairmore House,David Cameron,family home,family,
Blairmore Holdings Inc,David Cameron,Fathers fund that David benefited from,family,
Arthur John Lancaster,Namur LLP,Arthur John Lancaster is a Designated member of,member,
Nikolas Heath,Pay Group Limited,Director of,job,
Nikolas Heath,Best Payment Services Limited,Director of,job,
Nikolas Heath,Oliver Heath Consulting Limited,Director of,job,
Nikolas Heath,Contractor Central Accounting Limited,Director of,job,
SmartPay Limited,Nikolas Heath,Nikolas Heath is a director of SmartPay Limited,job,
Andrew Simpson,AML Tax (UK) Limited,Director of,job,
Arthur John Lancaster,AML Tax (UK) Limited,Director of,job,
Christopher Ross Sparkes,AML Tax (UK) Limited,Director of,job,
Deborah Illingworth,Aston Asset Management Limited,Director of,job,
Douglas Barrowman,Aston Asset Management Limited,Director of,job,
Knox Group,Elizabeth Nerys Anne Rowlands,Group Marketing Director of Knox Group,job,
Contracting Scout Limited,Elizabeth Nerys Anne Rowlands,Director of Contracting Scout Limited,job,
Contracting Scout Limited,Nikolas Heath,Director (resigned) of Contracting Scout Limited,job,
Contracting Wise Limited,Isle of Man,Contracting Wise Limited registered in the Isle Of Man,jurisdiction,
Contracting Wise Limited,Knox Group,Contracting Wise Limited is part of the Know Group of companies,corporate,
MMI Global Unlimited,Knox Limited,Knox Limited has significant control of MMI Global Unlimited,corporate,
MMI Global Unlimited,Michelle Mone,Director of MMI Global Unlimited,job,
MJM International Limited,Michelle Mone,Director (resigned) of MJM and use of EBTs - https://www.heraldscotland.com/news/13593438.new-tory-business-start-up-czar-michelle-mone-insists-you-wont-break-me-following-tax-avoidance-row/,job,
MJM International Limited,Arthur John Lancaster,Director of MJM International Limited with significant control,job,
Marra Solutions Limited,Isle of Man,Marra Solutions Limited is registered in the Isle Of Man,jurisdiction,
Marra Solutions Limited,Simeon Berry,Simeon Berry is a director of Marra Solutions Limited,job,
Marra Solutions Limited,Independent Contractor Services Limited,Independent Contractor Services Limited promoted Marra Solutions Limited,corporate,
Dynamic Partners Consultants Limited,Andrew William Thompson,Andrew William Thompson is a director of Dynamic Partners Consultants Limited,job,
Dynamic Partners Consultants Limited,Felicitas Solutions Limited,Felicitas Solutions Limited have decided NOT to recover loans from Dynamic Partners Consultants Limited,demand,
ECS International Trustees Limited,Felicitas Solutions Limited,Felicitas Solutions Limited have decided NOT to recover loans from ECS International Trustees Limited,demand,
ECS International Trustees Limited,Isle of Man,ECS International Trustees Limited are registered in the Isle of Man,jurisdiction,
Principal Contracts Limited (PCL),Isle of Man,Principal Contracts Limited (PCL) is registered in the Isle of Man,jurisdiction,
Principal Contracts Limited (PCL),Knox House Trust Limited,Knox House Trust Limited are the original share-holders of Principal Contracts Limited (PCL),corporate,
Link Payroll Limited,Michael Joseph Millsopp,Michael Joseph Millsopp was a director of Link Payroll Limited,job,
Millhage Consultants Limited,Michael Joseph Millsopp,Michael Joseph Millsopp is a director of Millhage Consultants Limited,job,
Millhage Management Services Limited,Michael Joseph Millsopp,Michael Joseph Millsopp is a director of Millhage Management Services Limited,job,
Millhage Consultants Limited,Link Payroll Limited,Link Payroll Limited promoted Millhage Consultants Limited,corporate,
Belize Offshore Services Limited,Belize,Belize Offshore Services Limited is based in Belize,jurisdiction,
Paul Michael Baxendale-Walker,Baxendale Walker LLP,Paul is a designated member of Brunswick Wealth LLP,job,
Belize Offshore Services Limited,Baxendale Walker LLP,Belize Offshore Services Limited is a designated member of Brunswick Wealth LLP,corporate,
Millhage Consultants Limited,Belize Offshore Services Limited,Millhage Consultants Limited and Belize Offshore Services Limited were joint signatories on scheme deeds,corporate,
Cascade Management Solutions Limited,Penfolds Limited,Cascade was the billing service for Penfolds and also provided sales and marketing.,corporate,
Marra Solutions Limited,Merchant Group Limited,Marra Solutions Limited clients were transferred to Merchant Group Limited,corporate,
Merchant Group Limited,Momentum Partners Limited,Merchant Group Limited clients were transferred to Momentum Partners Limited,corporate,
Momentum Partners Limited,Aston Management Limited,Momentum Partners Limited clients were transferred to Aston Management Limited in 2010/2011,corporate,
Mel Stride,Venture Marketing Group Limited,Significant control of company,job,
Gordon William Berry,Armadillo Support Limited,Gordon Berry is a director of Armadillo Support Limited,job,
Gordon William Berry,DR Defence Support Limited,Gordon Berry is a director of DR Defence Support Limited,job,
David Gill,DR Defence Support Limited,David Gill is a director of DR Defence Support Limited,job,
Douglas William Aitken,DR Defence Support Limited,Douglas Aitken was a director of DR Defence Support Limited,job,
Matthew Hall,Armadillo Support Limited,Matt Hall is a director of Armadillo Support Limited,job,
David Gill,Peak Performance Tax Limited,"David Gill is a director. Currently in liquidation, previously PROBIZ SCOTLAND LIMITED",job,
Gordon William Berry,Peak Performance Tax Limited,"Gordon Berry was a director. Currently in liquidation, previously PROBIZ SCOTLAND LIMITED",job,
Mohammad Feisal Nahaboo,Peak Performance Tax Limited,"Mohammad Feisal was a director. Currently in liquidation, previously PROBIZ SCOTLAND LIMITED",job,
Simon Roger Emblin,Pyrrhus Capital Limited,Simon Emblin was a director of Pyrrhus Capital Limited,job,
Simon Roger Emblin,Achilles Products Limited,Simon Emblin was a director of Achilles Products Limited,job,
Stuart Drury,Achilles Products Limited,Stuart Drury is a director of Achilles Products Limited,job,
David Gill,Peak Defence Support Limited,David Gill is a director of Peak Defence Support Limited,job,
Gordon William Berry,Peak Defence Support Limited,Gordon Berry is a director of Peak Defence Support Limited,job,
Douglas William Aitken,Peak Defence Support Limited,Douglas Aitken was a director of Peak Defence Support Limited,job,
Mark Ross Thomson,Thomson Independent Limited,Mark Ross Thomson was a director of Thomson Independent Limited,job,
Mark Ross Thomson,Achilles Products Limited,Mark Ross Thomson was a director of Achilles Products Limited,job,
Samantha Jane Murray,FS Capital Limited,Samantha Jane Murray was a director of FS Capital Limited,job,
Samantha Jane Murray,Pyrrhus Capital Limited,Samantha Jane Murray was a director of Pyrrhus Capital Limited,job,
Samantha Jane Murray,Achilles Products Limited,Samantha Jane Murray was a director of Achilles Products Limited,job,
Stuart Drury,Dynalogic Limited,Stuart Drury is a director of Dynalogic Limited,job,
Achilles Products Limited,Peak Defence Support Limited,Achilles Products Limited was introduced at Peak Performance Contractor Workshop March 2018,corporate,
Dynalogic Limited,Peak Defence Support Limited,Dynalogic Limited was introduced at Peak Performance Contractor Workshop March 2018,corporate,
Thomson Independent Limited,Peak Defence Support Limited,Thomson Independent Limited was introduced at Peak Performance Contractor Workshop March 2018,corporate,
David Gill,Members Executive Office Services Limited,David Gill is a director of Members Executive Office Services Limited,job,
Gordon William Berry,Members Executive Office Services Limited,Gordon Berry is a director of Members Executive Office Services Limited,job,
Gordon William Berry,Armadillo Umbrella Limited,Gordon Berry is a director of Armadillo Umbrella Limited,job,
Gordon William Berry,Armadillo Solutions Limited,Gordon Berry is a director of Armadillo Solutions Limited,job,
Matthew Hall,Armadillo Umbrella Limited,Matthew Hall is a director of Armadillo Umbrella Limited,job,
David Mainsbridge,Armadillo Umbrella Limited,David Mainsbridge is a director of Armadillo Umbrella Limited,job,
Gordon William Berry,Peak Performance Head Office Services Limited,Gordon Berry was a director of Peak Performance Head Office Services Limited,job,
Gordon William Berry,Peak Performance Contracts Limited,Gordon Berry was a director of Peak Performance Contracts Limited,job,
David Gill,Peak Performance Contracts Limited,David Gill is a director of Peak Performance Contracts Limited,job,
James Anderson,Peak Performance Contracts Limited,James Anderson was a director of Peak Performance Contracts Limited,job,
David Mark Sullivan,Peak Performance Contracts Limited,David Mark Sullivan was a director of Peak Performance Contracts Limited,job,
David Gill,Peak Performance Accountants Limited,David Gill is a director of Peak Performance Accountants Limited,job,
Douglas William Aitken,Peak Performance Accountants Limited,Douglas William Aitken was a director of Peak Performance Accountants Limited,job,
David Mark Sullivan,Peak Performance Accountants Limited,David Mark Sullivan was a director of Peak Performance Accountants Limited,job,
Richard Mark Hopkins,Peak Performance Professional Contracts Limited,Richard Mark Hopkins was a director of Peak Performance Professional Contracts Limited,job,
David Gill,Peak Performance Professional Contracts Limited,David Gill is a director of Peak Performance Professional Contracts Limited,job,
James Anderson,Peak Performance Professional Contracts Limited,James Anderson was a director of Peak Performance Professional Contracts Limited,job,
Joanne Marie Macnamara,Peak Performance Professional Contracts Limited,Joanne Macnamara was a director of Peak Performance Professional Contracts Limited,job,
David Mark Sullivan,Peak Performance Professional Contracts Limited,David Mark Sullivan was a director of Peak Performance Professional Contracts Limited,job,
Richard Mark Hopkins,Hyrax Resourcing Limited,Richard Mark Hopkins was a director of Hyrax Resourcing Limited,job,
Gordon William Berry,Peak Legal Services Limited,Gordon Berry was a director of Peak Legal Services Limited,job,
Douglas William Aitken,Peak Legal Services Limited,Douglas William Aitken was a director of Peak Legal Services Limited,job,
Keith John Halford,Peak Legal Services Limited,Keith John Halford was a director of Peak Legal Services Limited,job,
David Gill,Peak Performance Wealth Management Limited,David Gill was a director of Peak Performance Wealth Management Limited,job,
Keith John Halford,Peak Performance Wealth Management Limited,Keith John Halford was a director of Peak Performance Wealth Management Limited,job,
Gordon William Berry,Peak Executor and Trustee Company Limited,Gordon Berry was a director of Peak Executor and Trustee Company Limited,job,
Keith John Halford,Peak Executor and Trustee Company Limited,Keith John Halford was a director of Peak Executor and Trustee Company Limited,job,
Gordon William Berry,Peak Employee Benefits Limited,Gordon Berry was a director of Peak Employee Benefits Limited,job,
David Mark Sullivan,Peak Employee Benefits Limited,David Mark Sullivan is a director of Peak Employee Benefits Limited,job,
Douglas William Aitken,Peak Employee Benefits Limited,Douglas William Aitken was a director of Peak Employee Benefits Limited,job,
Keith John Halford,Peak Employee Benefits Limited,Keith John Halford was a director of Peak Employee Benefits Limited,job,
Carl O'Shea,Pinotage Trustees Sàrl,Carl O'Shea is a director of Pinotage Trustees Sàrl,job,
FS Capital Limited,Pinotage Trustees Sàrl,Pinotage Trustees allegedly sold the K2 and some of the Hyrax loans to FS Capital,corporate,
K2/Cirrus Contractor Solutions,Pinotage Trustees Sàrl,K2/Cirrus loans where held in a trust with Pinotage Trustees,corporate,
Hyrax Resourcing Limited,Pinotage Trustees Sàrl,Hyrax Resourcing Limited loans where held in a trust with Pinotage Trustees,corporate,
Edward Watkin Gittins,Montpelier Professional Limited,Edward Watkin Gittins is a director of Montpelier Professional Limited,job,
Edward Watkin Gittins,Newquay Professional Limited,Edward Watkin Gittins was a director of Newquay Professional Limited,job,
Matthew Hall,Penfolds Limited,Matt Hall is representing Penfolds scheme users in challenging HMRC,job,
Matthew Hall,Hamilton Trust Limited,Matt Hall is representing Hamilton Trust scheme users in challenging HMRC,job,
Matthew Hall,RSM Tenon Group plc,Matt Hall was a director at RSM Tenon Group plc,job,
David Gill,Armadillo Solutions Limited,David Gill was a director of Armadillo Solutions Limited,job,
David Gill,3PCL Limited,David Gill was a director of 3PCL Limited,job,
Peak Performance Professional Contracts Limited,3PCL Limited,PPPC was a former company name of 3PCL Limited,corporate,
David Gill,Peak Performance Head Office Services Limited,David Gill is a director of Peak Performance Head Office Services Limited,job,
James Anderson,Peak Performance Head Office Services Limited,James Anderson was a director of Peak Performance Head Office Services Limited,job,
Matthew Hall,Premier Strategies Limited,Matthew Hall was a director of Premier Strategies Limited,job,
Simon Roger Emblin,Redbox Associates LLP,Simon Roger Emblin is a director of Redbox Associates LLP,job,
Achilles Products Limited,Goldfinger Corporate Tax,Achilles Products Limited promoted the Goldfinger Corporate Tax scheme,corporate,
Redbox Associates LLP,Goldfinger Corporate Tax,Redbox Associates LLP promoted the Goldfinger Corporate Tax scheme,corporate,
Matthew Hall,Saleos Limited,Matthew Hall was a director of Saleos Limited,job,
Matthew Hall,Saleos Consultancy Services Limited,Matthew Hall is a director of Saleos Consultancy Services Limited,job,
James Anderson,Bosley Park Limited,James Anderson was a director of Bosley Park Limited,job,
Gordon William Berry,Bosley Park Limited,Gordon William Berry was a director of Bosley Park Limited,job,
Douglas William Aitken,Bosley Park Limited,Douglas William Aitken is a director of Bosley Park Limited,job,
Roy Lyness,Bosley Park Limited,Roy Lyness was a director of Bosley Park Limited,job,
Roy Lyness,Peak Performance Accountants Limited,Roy Lyness was a director of Peak Performance Accountants Limited,job,
David Gill,Peak Performance Resource Limited,David Gill was a director pf Peak Performance Resource Limited,job,
Douglas William Aitken,Peak Performance Resource Limited,Douglas William Aitken was a director of Peak Performance Resource Limited,job,
James Anderson,Peak Performance Resource Limited,James Anderson was a director of Peak Performance Resource Limited,job,
FS Capital Limited,Penfolds Limited,FS Capital is demanding loan repayments from users of the Penfolds scheme,demand,
Felicitas Solutions Limited,Gladstones Solicitors Limited,Gladstones Solicitors Limited are the solicitors acting for Felicitas Solutions Limited,corporate,
Isle of Man,Assignment Solutions (IOM) Limited,Assignment Solutions (IOM) Limited was registered in the Isle Of Man,jurisdiction,
Gordon William Berry,Business Oxygen Limited,Gordon Berry is a director of Business Oxygen Limited,job,
Arthur John Lancaster,The Barrowman Foundation,Arthur Lancaster is a Trustee of The Barrowman Foundation,trustee,
Douglas Barrowman,The Barrowman Foundation,Douglas Barrowman is the chair of The Barrowman Foundation,job,
Michelle Mone,The Barrowman Foundation,Michelle Mone is a Trustee of The Barrowman Foundation,trustee,
The Prince's Trust,The Barrowman Foundation,"In 2016, Douglas Barrowman pledged £2 million to the Prince’s Trust",donor,
Felicitas Corporate Limited,Felicitas Trust Limited,Felicitas Corporate Limited is part of the Felicitas Group,corporate,
Felicitas Trust Limited,Felicitas Solutions Limited,Felicitas Trust Limited is part of the Felicitas Group,corporate,
Felicitas Corporate Limited,Felicitas Solutions Limited,Felicitas Solutions Limited is part of the Felicitas Group,corporate,
Felicitas Trust Limited,Malta,Felicitas Trust Limited is registered in Malta,jurisdiction,
Felicitas Corporate Limited,Malta,Felicitas Corporate Limited is registered in Malta,jurisdiction,
Mark Martin Reid,Thomson Independent Limited,Mark Martin Reid is a director of Thomson Independent Limited,job,
Mark Martin Reid,FS Capital Limited,Mark Martin Reid was a director of FS Capital Limited,job,
Mark Martin Reid,Pyrrhus Capital Limited,Mark Martin Reid was a director of Pyrrhus Capital Limited,job,
Mark Martin Reid,Achilles Products Limited,Mark Martin Reid was a director of Achilles Products Limited,job,
IQ Consulting (UK) Trust Solutions Limited,Andrew William Thompson,Andrew William Thompson is a director of IQ Consulting (UK) Trust Solutions Limited,job,
IQ Consultants (UK) Solutions Limited,Andrew William Thompson,Andrew William Thompson is a director of IQ Consultants (UK) Solutions Limited,job,
Garraway (UK) Solutions Limited,Andrew William Thompson,Andrew William Thompson is a director of Garraway (UK) Solutions Limited,job,
Garraway Contractors UK Solutions Limited,Andrew William Thompson,Andrew William Thompson is a director of Garraway Contractors UK Solutions Limited,job,
IQ Consulting (UK) Trust Solutions Limited,IQ Consultants Limited,IQ Consulting (UK) Trust Solutions Limited is a UK company related to IOM based IQ scheme ,corporate,
IQ Consultants (UK) Solutions Limited,IQ Consultants Limited,IQ Consultants (UK) Solutions Limited is a UK company related to IOM based IQ scheme ,corporate,
Garraway (UK) Solutions Limited,Garraway/Sanzar,Garraway (UK) Solutions Limited is a UK company related to IOM based Garraway scheme,corporate,
Garraway Contractors UK Solutions Limited,Garraway/Sanzar,Garraway Contractors UK Solutions Limited is a UK company related to IOM based Garraway scheme,corporate,
Helpline Services Limited,IQ Consultants Limited,Offered IQ Consultants scheme users a way to release loans at a cost of 5% of the total loan value,corporate,
Helpline Services Limited,Darwin Pay,Offered Darwin Pay scheme users a way to release loans at a cost of 5% of the total loan value,corporate,
Daniel John Clay,Mallard Loans Limited,Daniel John Clay is a director of Mallard Loans Limited,job,
Suzanna Debra Mazal Ogden,Mallard Loans Limited,Suzanna Debra Mazal Ogden is a director of Mallard Loans Limited,job,
Arthur John Lancaster,Monthly Advanced Loans Limited,Arthur John Lancaster was a director of Monthly Advanced Loans Limited,job,
Suzanna Debra Mazal Ogden,Monthly Advanced Loans Limited,Suzanna Debra Mazal Ogden is a director of Monthly Advanced Loans Limited,job,
Suzanna Debra Mazal Ogden,Knox Capital Solutions (UK) Limited,Suzanna Debra Mazal Ogden is a director of Knox Capital Solutions (UK) Limited,job,
Daniel John Clay,MAL Loans Limited,Daniel John Clay is a director of MAL Loans Limited,job,
Suzanna Debra Mazal Ogden,MAL Loans Limited,Suzanna Debra Mazal Ogden is a director of MAL Loans Limited,job,
Daniel John Clay,Contracting Options Limited,Daniel John Clay is a director of Contracting Options Limited,job,
Christopher Ross Sparkes,AML Tax LLP,Christopher Sparkes was a designated member of AML Tax LLP,member,
Christopher Ross Sparkes,Montpelier Tax Consultants (City) Limited,Christopher Sparkes was a director of Montpelier Tax Consultants (City) Limited,job,
Edward Watkin Gittins,Montpelier Tax Consultants (City) Limited,Edward Watkin Gittins was a director of Montpelier Tax Consultants (City) Limited,job,
AML Healthcare Contracts Limited,Denmedical UK Limited,AML Healthcare Contracts Limited is the former name of Denmedical UK Limited,corporate,
Douglas Barrowman,Denmedical UK Limited,Douglas Barrowman had significant control of Denmedical UK Limited until January 2020,job,
Anthony Page,Denmedical UK Limited,Anthony Page has significant control of Denmedical UK Limited,job,
Arthur John Lancaster,Denmedical UK Limited,Arthur John Lancaster is a director of Denmedical UK Limited,job,
Christopher Ross Sparkes,Denmedical UK Limited,Christopher Ross Sparkes was a director of Denmedical UK Limited,job,
